C1,A1,action,strength,C1_afteraction,A1_afteraction
-0.4465,1.843,change A1 (A1 coarse),50.0,-1.015,1.108
-0.5972000000000001,2.646,change A1 (A1 coarse),50.0,-0.79,2.561
-0.79,2.561,change A1 (A1 coarse),50.0,-1.338,2.479
-1.345,2.147,change A1 (A1 coarse),50.0,-0.846,0.6107
0.005064,2.628,change A1 (A1 coarse),50.0,-0.4779,2.547
-0.4779,2.547,change A1 (A1 coarse),50.0,0.25939999999999996,1.696
-0.8117000000000001,2.124,change A1 (A1 coarse),50.0,0.007534,1.132
-0.549,1.65,change A1 (A1 coarse),50.0,-0.12919999999999998,0.2072
-0.5313,1.408,change A1 (A1 coarse),50.0,-0.8179,0.8613
0.3887,2.087,change A1 (A1 coarse),50.0,0.08374,2.327
0.08374,2.327,change A1 (A1 coarse),50.0,0.4343,2.589
0.1981,2.148,change A1 (A1 coarse),50.0,0.37610000000000005,2.7
0.006452,3.043,change A1 (A1 coarse),50.0,0.32580000000000003,1.823
0.18,1.34,change A1 (A1 coarse),50.0,-0.25789999999999996,0.6188
-0.864,1.697,change A1 (A1 coarse),50.0,0.08915000000000001,1.612
-0.17980000000000002,1.921,change A1 (A1 coarse),50.0,-0.38880000000000003,0.6524
0.4442,4.367,change A1 (A1 coarse),50.0,1.292,0.8219
1.207,1.284,change A1 (A1 coarse),50.0,1.35,0.7429
-0.7784,1.253,change A1 (A1 coarse),50.0,-1.665,1.773
-0.624,1.91,change A1 (A1 coarse),50.0,-1.074,1.261
2.703,1.897,change A1 (A1 coarse),50.0,2.698,2.052
-0.6002000000000001,2.804,change A1 (A1 coarse),50.0,-1.066,1.296
0.06385,26.85,change A1 (A1 coarse),100.0,0.4397,8.54
0.4397,8.54,change A1 (A1 coarse),100.0,-0.38239999999999996,4.405
-0.38239999999999996,4.405,change A1 (A1 coarse),50.0,-1.948,1.204
-2.427,2.357,change A1 (A1 coarse),50.0,-0.04248,1.547
-0.08186,3.678,change A1 (A1 coarse),50.0,0.1343,2.946
-0.23500000000000001,3.761,change A1 (A1 coarse),50.0,0.9615,2.311
-0.2002,2.368,change A1 (A1 coarse),50.0,-0.1306,1.705
-0.08278,4.26,change A1 (A1 coarse),50.0,-1.233,2.999
1.195,3.899,change A1 (A1 coarse),50.0,0.4117,2.155
0.1037,3.284,change A1 (A1 coarse),50.0,1.112,2.378
-0.8467,2.582,change A1 (A1 coarse),50.0,1.769,2.718
2.36,1.807,change A1 (A1 coarse),50.0,1.228,2.552
-1.17,3.801,change A1 (A1 coarse),50.0,-0.722,1.993
-0.3406,5.221,change A1 (A1 coarse),50.0,-0.2707,3.068
-0.2707,3.068,change A1 (A1 coarse),50.0,0.004789,0.8270000000000001
-1.411,1.107,change A1 (A1 coarse),50.0,-1.663,1.348
-1.243,0.8384,change A1 (A1 coarse),50.0,-1.025,0.6811
1.687,11.44,change A1 (A1 coarse),50.0,-0.6159,7.366
-0.6159,7.366,change A1 (A1 coarse),50.0,3.548,1.808
3.252,1.633,change A1 (A1 coarse),50.0,3.284,2.005
3.284,2.005,change A1 (A1 coarse),50.0,2.919,1.726
-1.767,17.94,change A1 (A1 coarse),50.0,-7.059,14.24
-7.059,14.24,change A1 (A1 coarse),50.0,-0.9420000000000001,3.845
-0.9420000000000001,3.845,change A1 (A1 coarse),50.0,-0.7606,2.866
-0.7606,2.866,change A1 (A1 coarse),50.0,-1.053,0.4315
-0.3501,2.795,change A1 (A1 coarse),50.0,0.2184,0.6878
0.2184,0.6878,change A1 (A1 coarse),50.0,0.04458,0.4392
0.8339,1.385,change A1 (A1 coarse),50.0,0.4165,1.399
0.32330000000000003,1.414,change A1 (A1 coarse),50.0,0.4905,1.217
0.4905,1.217,change A1 (A1 coarse),50.0,0.5700000000000001,1.428
0.5700000000000001,1.428,change A1 (A1 coarse),50.0,0.623,1.302
0.623,1.302,change A1 (A1 coarse),50.0,1.062,1.357
1.062,1.357,change A1 (A1 coarse),50.0,0.7827000000000001,1.331
0.7827000000000001,1.331,change A1 (A1 coarse),50.0,1.158,1.303
1.158,1.303,change A1 (A1 coarse),50.0,1.554,1.727
1.554,1.727,change A1 (A1 coarse),50.0,1.15,0.4173
1.313,4.472,change A1 (A1 coarse),50.0,1.308,0.9514
2.192,10.04,change A1 (A1 coarse),50.0,1.686,5.362
1.686,5.362,change A1 (A1 coarse),50.0,1.731,2.211
1.741,2.694,change A1 (A1 coarse),50.0,1.87,0.6068
3.226,11.78,change A1 (A1 coarse),50.0,3.566,5.577
3.566,5.577,change A1 (A1 coarse),50.0,3.281,3.09
3.281,3.09,change A1 (A1 coarse),50.0,2.923,2.258
2.923,2.258,change A1 (A1 coarse),50.0,3.442,1.704
3.525,1.117,change A1 (A1 coarse),50.0,-1.399,0.5583
2.558,14.18,change A1 (A1 coarse),50.0,-0.372,10.51
2.954,8.223,change A1 (A1 coarse),50.0,3.333,3.962
3.333,3.962,change A1 (A1 coarse),50.0,3.439,3.816
3.439,3.816,change A1 (A1 coarse),50.0,3.963,1.126
3.963,1.126,change A1 (A1 coarse),50.0,3.628,1.554
3.78,1.794,change A1 (A1 coarse),50.0,3.684,1.6
3.244,1.013,change A1 (A1 coarse),50.0,3.303,0.9611000000000001
2.007,5.402,change A1 (A1 coarse),50.0,2.098,4.364
2.098,4.364,change A1 (A1 coarse),50.0,1.825,0.6711
3.846,10.37,change A1 (A1 coarse),50.0,4.091,6.028
4.091,6.028,change A1 (A1 coarse),50.0,3.676,2.726
3.676,2.726,change A1 (A1 coarse),50.0,4.169,3.404
4.169,3.404,change A1 (A1 coarse),50.0,4.223,3.213
4.223,3.213,change A1 (A1 coarse),50.0,4.1,1.294
4.1,1.294,change A1 (A1 coarse),50.0,4.142,1.101
0.3339,8.15,change A1 (A1 coarse),75.0,-0.4716,4.377
1.186,1.261,change A1 (A1 coarse),75.0,1.254,1.146
-0.7187,7.663,change A1 (A1 coarse),75.0,-0.1448,2.694
-0.1448,2.694,change A1 (A1 coarse),75.0,-0.266,0.6141000000000001
1.372,4.023,change A1 (A1 coarse),75.0,1.707,0.7434
1.194,4.619,change A1 (A1 coarse),75.0,1.327,4.457
1.327,4.457,change A1 (A1 coarse),75.0,1.196,2.964
1.196,2.964,change A1 (A1 coarse),75.0,1.193,2.648
1.193,2.648,change A1 (A1 coarse),75.0,1.188,2.336
1.188,2.336,change A1 (A1 coarse),75.0,1.29,0.5096
-2.842,6.631,change A1 (A1 coarse),50.0,0.18969999999999998,7.435
0.18969999999999998,7.435,change A1 (A1 coarse),50.0,-0.047439999999999996,4.551
-0.047439999999999996,4.551,change A1 (A1 coarse),50.0,0.2378,4.529
0.2378,4.529,change A1 (A1 coarse),50.0,0.7329,2.431
0.7329,2.431,change A1 (A1 coarse),50.0,0.6952999999999999,0.43110000000000004
1.445,5.643,change A1 (A1 coarse),50.0,1.377,4.211
1.377,4.211,change A1 (A1 coarse),50.0,1.886,3.732
2.152,3.81,change A1 (A1 coarse),50.0,2.112,0.9649
1.863,1.351,change A1 (A1 coarse),50.0,2.205,1.327
2.172,1.429,change A1 (A1 coarse),50.0,2.177,1.646
-2.367,0.7422000000000001,change A1 (A1 coarse),50.0,1.828,1.886
1.828,1.886,change A1 (A1 coarse),50.0,1.79,1.5
1.513,1.056,change A1 (A1 coarse),50.0,1.55,1.051
1.366,0.7129,change A1 (A1 coarse),50.0,1.849,1.065
