C1,A1,action,strength,C1_afteraction,A1_afteraction
-7.189,2.41,change C1,1.6719999999999997,-5.517,1.999
-5.517,1.999,change C1,2.474,-3.043,2.579
-3.043,2.579,change C1,1.6340000000000001,-1.409,3.245
-0.5887000000000001,1.695,change C1,-0.22119999999999984,-0.8099,2.627
4.829,4.692,change C1,-0.8119999999999994,4.017,3.94
4.017,3.94,change C1,0.7689999999999992,4.786,3.824
2.976,1.41,change C1,0.15200000000000014,3.128,1.194
3.128,1.194,change C1,-0.28800000000000026,2.84,0.8297000000000001
2.84,0.8297000000000001,change C1,-0.15300000000000002,2.687,1.41
2.687,1.41,change C1,-0.625,2.062,1.546
2.062,1.546,change C1,-0.48999999999999977,1.572,1.823
1.572,1.823,change C1,-0.238,1.334,1.284
1.334,1.284,change C1,-0.5442000000000001,0.7898,0.8034
0.7898,0.8034,change C1,0.19240000000000013,0.9822000000000001,1.027
1.835,1.422,change C1,-0.5700000000000001,1.265,1.446
1.265,1.446,change C1,-0.6075999999999999,0.6574,2.32
-0.9560000000000001,5.715,change C1,0.5765,-0.3795,5.719
0.7945,2.201,change C1,-0.2748999999999999,0.5196000000000001,1.329
0.09423999999999999,2.232,change C1,-0.31514,-0.2209,2.636
-0.7262000000000001,2.941,change C1,0.5284000000000001,-0.1978,2.789
-1.772,2.891,change C1,1.279,-0.493,2.655
-0.493,2.655,change C1,0.39796,-0.09504000000000001,2.394
-1.202,2.934,change C1,1.1466,-0.0554,2.311
-1.75,6.852,change C1,0.591,-1.159,6.729
-0.3502,2.065,change C1,-0.4117,-0.7619,1.535
-0.7619,1.535,change C1,-0.06569999999999998,-0.8276,1.788
-0.7787999999999999,1.93,change C1,0.4668999999999999,-0.3119,1.814
-2.521,3.186,change C1,0.125,-2.396,3.034
-2.396,3.034,change C1,-0.43800000000000017,-2.834,2.982
-2.834,2.982,change C1,0.16800000000000015,-2.666,3.281
-2.666,3.281,change C1,0.9269999999999998,-1.739,3.423
-1.739,3.423,change C1,0.131,-1.608,3.676
-1.608,3.676,change C1,-0.18999999999999995,-1.798,2.995
-1.798,2.995,change C1,0.9495,-0.8485,2.927
-1.042,3.057,change C1,-0.14900000000000002,-1.191,2.972
0.8026000000000001,1.753,change C1,0.4313999999999999,1.234,2.692
1.234,2.692,change C1,-0.4134,0.8206,2.114
-2.006,2.835,change C1,-0.05300000000000038,-2.059,2.707
-2.059,2.707,change C1,-0.48599999999999977,-2.545,3.379
-2.545,3.379,change C1,1.069,-1.476,2.872
-1.96,2.93,change C1,0.6859999999999999,-1.274,3.325
-0.169,1.665,change C1,-0.08509999999999998,-0.2541,1.892
-0.0249,1.556,change C1,-0.11929999999999999,-0.1442,1.212
1.925,2.049,change C1,0.248,2.173,1.828
2.173,1.828,change C1,-0.28100000000000014,1.892,1.931
1.621,0.9617000000000001,change C1,-0.133,1.488,1.29
1.507,1.152,change C1,-0.20899999999999985,1.298,1.36
1.298,1.36,change C1,0.18599999999999994,1.484,2.12
1.484,2.12,change C1,-0.48560000000000003,0.9984,1.63
0.9984,1.63,change C1,-0.2407999999999999,0.7576,1.58
0.8803,1.444,change C1,0.9077000000000001,1.788,2.369
-0.218,4.781,change C1,0.5681,0.3501,4.293
1.118,4.406,change C1,-0.1070000000000002,1.011,3.181
0.7571,3.123,change C1,0.42790000000000006,1.185,2.562
1.185,2.562,change C1,0.29699999999999993,1.482,3.31
0.11240000000000001,4.699,change C1,-0.11613300000000001,-0.003733,3.677
1.788,2.504,change C1,-0.5660000000000001,1.222,2.798
1.174,2.503,change C1,-0.39239999999999986,0.7816000000000001,2.487
0.30460000000000004,1.906,change C1,0.4019,0.7065,3.513
0.7065,3.513,change C1,-0.13279999999999992,0.5737000000000001,2.609
0.6942,2.55,change C1,0.3298,1.024,2.515
-1.119,1.554,change C1,0.09800000000000009,-1.021,1.612
-1.021,1.612,change C1,0.052999999999999936,-0.968,2.078
-1.079,1.481,change C1,0.2659999999999999,-0.8130000000000001,1.571
-0.8130000000000001,1.571,change C1,0.37350000000000005,-0.4395,0.7407
6.103,2.896,change C1,0.6890000000000001,6.792,2.815
6.792,2.815,change C1,-0.11299999999999955,6.679,3.304
6.679,3.304,change C1,2.801,9.48,4.486
9.48,4.486,change C1,-0.7590000000000003,8.721,4.249
9.655,4.208,change C1,0.32200000000000095,9.977,4.164
9.287,4.0,change C1,0.641,9.928,3.719
9.928,3.719,change C1,-6.638000000000001,3.29,2.63
8.983,2.245,change C1,0.0030000000000001137,8.986,2.978
8.986,2.978,change C1,-0.3160000000000007,8.67,1.788
8.67,1.788,change C1,0.8780000000000001,9.548,2.354
9.548,2.354,change C1,-0.8539999999999992,8.694,2.909
8.694,2.909,change C1,-0.011000000000001009,8.683,2.126
7.333,1.656,change C1,-41.553,-34.22,4.04
